"","vid","nationality","condition","composition","conditions","new_label","n","mean","sd","lower_ci","upper_ci","selected"
"64","vid68","Levantine","music","female","Levantine-music","v_68_Levantine_music_female_valence",42,2.52464494571429,1.01235756139325,2.21847865205359,2.83081123937498,FALSE
"65","vid7","Ukraine","cooking","female","Ukraine-cooking","v_7_Ukraine_cooking_female_valence",15,2.4285714286,0.622699849077239,2.11344761621257,2.74369524098743,FALSE
"66","vid70","Levantine","music","group","Levantine-music","v_70_Levantine_music_group_valence",22,4.23809523809091,0.920908552657796,3.85327911758305,4.62291135859877,FALSE
"67","vid71","Levantine","music","group","Levantine-music","v_71_Levantine_music_group_valence",20,3.05263157895,0.998613997947909,2.61497773968168,3.49028541821832,FALSE
"68","vid72","Levantine","music","male","Levantine-music","v_72_Levantine_music_male_valence",21,3.05,1.07121426428143,2.59184251009139,3.50815748990861,FALSE
"69","vid73","Levantine","music","male","Levantine-music","v_73_Levantine_music_male_valence",42,3.1,1.17083459913712,2.74590565292546,3.45409434707454,FALSE
"70","vid74","Levantine","music","male","Levantine-music","v_74_Levantine_music_male_valence",41,2.94801026958537,1.16766938547991,2.59059256901796,3.30542797015277,FALSE
"71","vid75","Levantine","music","male","Levantine-music","v_75_Levantine_music_male_valence",17,1.8125,1.07347275233235,1.30221282232399,2.32278717767601,FALSE
"72","vid76","Levantine","music","male","Levantine-music","v_76_Levantine_music_male_valence",19,2.66666666668421,1,2.21702009081108,3.11631324255734,FALSE
"73","vid77","Levantine","music","female","Levantine-music","v_77_Levantine_music_female_valence",21,2.05,0.973396116696589,1.63367925411108,2.46632074588892,FALSE
"74","vid78","Levantine","music","male","Levantine-music","v_78_Levantine_music_male_valence",22,2.85714285713636,1.08169682777148,2.40513882739058,3.30914688688215,FALSE
"75","vid79","Levantine","music","male","Levantine-music","v_79_Levantine_music_male_valence",42,3.1,1.17083459913712,2.74590565292546,3.45409434707454,FALSE
"76","vid8","Ukraine","cooking","female","Ukraine-cooking","v_8_Ukraine_cooking_female_valence",27,3.38461538462963,0.963843391241667,3.02105824082541,3.74817252843385,FALSE
"77","vid80","Levantine","music","male","Levantine-music","v_80_Levantine_music_male_valence",41,2.94801026958537,1.16766938547991,2.59059256901796,3.30542797015277,FALSE
"78","vid9","Ukraine","cooking","female","Ukraine-cooking","v_9_Ukraine_cooking_female_valence",21,2.55,1.11691539518443,2.0722961727071,3.0277038272929,FALSE
